"Series";"Time";"Value"
"上海";"2024-04-03T20:21:45+08:00";38736
"上海";"2024-04-03T20:22:00+08:00";38736
"上海";"2024-04-03T20:22:15+08:00";38745
"上海";"2024-04-03T20:22:30+08:00";38745
"上海";"2024-04-03T20:22:45+08:00";38732
"上海";"2024-04-03T20:23:00+08:00";38732
"上海";"2024-04-03T20:23:15+08:00";38712
"上海";"2024-04-03T20:23:30+08:00";38712
"上海";"2024-04-03T20:23:45+08:00";38685
"上海";"2024-04-03T20:24:00+08:00";38685
"上海";"2024-04-03T20:24:15+08:00";38656
"上海";"2024-04-03T20:24:30+08:00";38656
"上海";"2024-04-03T20:24:45+08:00";38589
"上海";"2024-04-03T20:25:00+08:00";38589
"上海";"2024-04-03T20:25:15+08:00";38540
"上海";"2024-04-03T20:25:30+08:00";38540
"上海";"2024-04-03T20:25:45+08:00";38540
"上海";"2024-04-03T20:26:00+08:00";38540
"上海";"2024-04-03T20:26:15+08:00";38514
"上海";"2024-04-03T20:26:30+08:00";38514
"上海";"2024-04-03T20:26:45+08:00";38514
"上海";"2024-04-03T20:27:00+08:00";38514
"云南";"2024-04-03T20:21:45+08:00";9970
"云南";"2024-04-03T20:22:00+08:00";9970
"云南";"2024-04-03T20:22:15+08:00";9946
"云南";"2024-04-03T20:22:30+08:00";9946
"云南";"2024-04-03T20:22:45+08:00";9933
"云南";"2024-04-03T20:23:00+08:00";9933
"云南";"2024-04-03T20:23:15+08:00";9921
"云南";"2024-04-03T20:23:30+08:00";9921
"云南";"2024-04-03T20:23:45+08:00";9908
"云南";"2024-04-03T20:24:00+08:00";9908
"云南";"2024-04-03T20:24:15+08:00";9897
"云南";"2024-04-03T20:24:30+08:00";9897
"云南";"2024-04-03T20:24:45+08:00";9876
"云南";"2024-04-03T20:25:00+08:00";9876
"云南";"2024-04-03T20:25:15+08:00";9847
"云南";"2024-04-03T20:25:30+08:00";9847
"云南";"2024-04-03T20:25:45+08:00";9834
"云南";"2024-04-03T20:26:00+08:00";9834
"云南";"2024-04-03T20:26:15+08:00";9815
"云南";"2024-04-03T20:26:30+08:00";9815
"云南";"2024-04-03T20:26:45+08:00";9815
"云南";"2024-04-03T20:27:00+08:00";9815
"内蒙古";"2024-04-03T20:21:45+08:00";3603
"内蒙古";"2024-04-03T20:22:00+08:00";3603
"内蒙古";"2024-04-03T20:22:15+08:00";3608
"内蒙古";"2024-04-03T20:22:30+08:00";3608
"内蒙古";"2024-04-03T20:22:45+08:00";3615
"内蒙古";"2024-04-03T20:23:00+08:00";3615
"内蒙古";"2024-04-03T20:23:15+08:00";3622
"内蒙古";"2024-04-03T20:23:30+08:00";3622
"内蒙古";"2024-04-03T20:23:45+08:00";3622
"内蒙古";"2024-04-03T20:24:00+08:00";3622
"内蒙古";"2024-04-03T20:24:15+08:00";3631
"内蒙古";"2024-04-03T20:24:30+08:00";3631
"内蒙古";"2024-04-03T20:24:45+08:00";3622
"内蒙古";"2024-04-03T20:25:00+08:00";3622
"内蒙古";"2024-04-03T20:25:15+08:00";3616
"内蒙古";"2024-04-03T20:25:30+08:00";3616
"内蒙古";"2024-04-03T20:25:45+08:00";3607
"内蒙古";"2024-04-03T20:26:00+08:00";3607
"内蒙古";"2024-04-03T20:26:15+08:00";3604
"内蒙古";"2024-04-03T20:26:30+08:00";3604
"内蒙古";"2024-04-03T20:26:45+08:00";3604
"内蒙古";"2024-04-03T20:27:00+08:00";3604
"北京";"2024-04-03T20:21:45+08:00";5061
"北京";"2024-04-03T20:22:00+08:00";5061
"北京";"2024-04-03T20:22:15+08:00";5067
"北京";"2024-04-03T20:22:30+08:00";5067
"北京";"2024-04-03T20:22:45+08:00";5064
"北京";"2024-04-03T20:23:00+08:00";5064
"北京";"2024-04-03T20:23:15+08:00";5084
"北京";"2024-04-03T20:23:30+08:00";5084
"北京";"2024-04-03T20:23:45+08:00";5095
"北京";"2024-04-03T20:24:00+08:00";5095
"北京";"2024-04-03T20:24:15+08:00";5098
"北京";"2024-04-03T20:24:30+08:00";5098
"北京";"2024-04-03T20:24:45+08:00";5100
"北京";"2024-04-03T20:25:00+08:00";5100
"北京";"2024-04-03T20:25:15+08:00";5097
"北京";"2024-04-03T20:25:30+08:00";5097
"北京";"2024-04-03T20:25:45+08:00";5105
"北京";"2024-04-03T20:26:00+08:00";5105
"北京";"2024-04-03T20:26:15+08:00";5095
"北京";"2024-04-03T20:26:30+08:00";5095
"北京";"2024-04-03T20:26:45+08:00";5095
"北京";"2024-04-03T20:27:00+08:00";5095
"吉林";"2024-04-03T20:21:45+08:00";4327
"吉林";"2024-04-03T20:22:00+08:00";4327
"吉林";"2024-04-03T20:22:15+08:00";4325
"吉林";"2024-04-03T20:22:30+08:00";4325
"吉林";"2024-04-03T20:22:45+08:00";4335
"吉林";"2024-04-03T20:23:00+08:00";4335
"吉林";"2024-04-03T20:23:15+08:00";4341
"吉林";"2024-04-03T20:23:30+08:00";4341
"吉林";"2024-04-03T20:23:45+08:00";4331
"吉林";"2024-04-03T20:24:00+08:00";4331
"吉林";"2024-04-03T20:24:15+08:00";4342
"吉林";"2024-04-03T20:24:30+08:00";4342
"吉林";"2024-04-03T20:24:45+08:00";4338
"吉林";"2024-04-03T20:25:00+08:00";4338
"吉林";"2024-04-03T20:25:15+08:00";4345
"吉林";"2024-04-03T20:25:30+08:00";4345
"吉林";"2024-04-03T20:25:45+08:00";4351
"吉林";"2024-04-03T20:26:00+08:00";4351
"吉林";"2024-04-03T20:26:15+08:00";4333
"吉林";"2024-04-03T20:26:30+08:00";4333
"吉林";"2024-04-03T20:26:45+08:00";4333
"吉林";"2024-04-03T20:27:00+08:00";4333
"四川";"2024-04-03T20:21:45+08:00";43274
"四川";"2024-04-03T20:22:00+08:00";43274
"四川";"2024-04-03T20:22:15+08:00";43203
"四川";"2024-04-03T20:22:30+08:00";43203
"四川";"2024-04-03T20:22:45+08:00";43145
"四川";"2024-04-03T20:23:00+08:00";43145
"四川";"2024-04-03T20:23:15+08:00";43038
"四川";"2024-04-03T20:23:30+08:00";43038
"四川";"2024-04-03T20:23:45+08:00";43027
"四川";"2024-04-03T20:24:00+08:00";43027
"四川";"2024-04-03T20:24:15+08:00";43008
"四川";"2024-04-03T20:24:30+08:00";43008
"四川";"2024-04-03T20:24:45+08:00";42943
"四川";"2024-04-03T20:25:00+08:00";42943
"四川";"2024-04-03T20:25:15+08:00";42815
"四川";"2024-04-03T20:25:30+08:00";42815
"四川";"2024-04-03T20:25:45+08:00";42726
"四川";"2024-04-03T20:26:00+08:00";42726
"四川";"2024-04-03T20:26:15+08:00";42615
"四川";"2024-04-03T20:26:30+08:00";42615
"四川";"2024-04-03T20:26:45+08:00";42615
"四川";"2024-04-03T20:27:00+08:00";42615
"天津";"2024-04-03T20:21:45+08:00";2268
"天津";"2024-04-03T20:22:00+08:00";2268
"天津";"2024-04-03T20:22:15+08:00";2271
"天津";"2024-04-03T20:22:30+08:00";2271
"天津";"2024-04-03T20:22:45+08:00";2264
"天津";"2024-04-03T20:23:00+08:00";2264
"天津";"2024-04-03T20:23:15+08:00";2262
"天津";"2024-04-03T20:23:30+08:00";2262
"天津";"2024-04-03T20:23:45+08:00";2275
"天津";"2024-04-03T20:24:00+08:00";2275
"天津";"2024-04-03T20:24:15+08:00";2273
"天津";"2024-04-03T20:24:30+08:00";2273
"天津";"2024-04-03T20:24:45+08:00";2273
"天津";"2024-04-03T20:25:00+08:00";2273
"天津";"2024-04-03T20:25:15+08:00";2281
"天津";"2024-04-03T20:25:30+08:00";2281
"天津";"2024-04-03T20:25:45+08:00";2274
"天津";"2024-04-03T20:26:00+08:00";2274
"天津";"2024-04-03T20:26:15+08:00";2290
"天津";"2024-04-03T20:26:30+08:00";2290
"天津";"2024-04-03T20:26:45+08:00";2290
"天津";"2024-04-03T20:27:00+08:00";2290
"宁夏";"2024-04-03T20:21:45+08:00";2961
"宁夏";"2024-04-03T20:22:00+08:00";2961
"宁夏";"2024-04-03T20:22:15+08:00";2971
"宁夏";"2024-04-03T20:22:30+08:00";2971
"宁夏";"2024-04-03T20:22:45+08:00";2975
"宁夏";"2024-04-03T20:23:00+08:00";2975
"宁夏";"2024-04-03T20:23:15+08:00";2973
"宁夏";"2024-04-03T20:23:30+08:00";2973
"宁夏";"2024-04-03T20:23:45+08:00";2966
"宁夏";"2024-04-03T20:24:00+08:00";2966
"宁夏";"2024-04-03T20:24:15+08:00";2958
"宁夏";"2024-04-03T20:24:30+08:00";2958
"宁夏";"2024-04-03T20:24:45+08:00";2957
"宁夏";"2024-04-03T20:25:00+08:00";2957
"宁夏";"2024-04-03T20:25:15+08:00";2948
"宁夏";"2024-04-03T20:25:30+08:00";2948
"宁夏";"2024-04-03T20:25:45+08:00";2947
"宁夏";"2024-04-03T20:26:00+08:00";2947
"宁夏";"2024-04-03T20:26:15+08:00";2942
"宁夏";"2024-04-03T20:26:30+08:00";2942
"宁夏";"2024-04-03T20:26:45+08:00";2942
"宁夏";"2024-04-03T20:27:00+08:00";2942
"安徽";"2024-04-03T20:21:45+08:00";22108
"安徽";"2024-04-03T20:22:00+08:00";22108
