"Series";"Time";"Value"
"上海";"2024-04-03T20:21:45+08:00";10654
"上海";"2024-04-03T20:22:00+08:00";10654
"上海";"2024-04-03T20:22:15+08:00";10652
"上海";"2024-04-03T20:22:30+08:00";10652
"上海";"2024-04-03T20:22:45+08:00";10640
"上海";"2024-04-03T20:23:00+08:00";10640
"上海";"2024-04-03T20:23:15+08:00";10646
"上海";"2024-04-03T20:23:30+08:00";10646
"上海";"2024-04-03T20:23:45+08:00";10661
"上海";"2024-04-03T20:24:00+08:00";10661
"上海";"2024-04-03T20:24:15+08:00";10646
"上海";"2024-04-03T20:24:30+08:00";10646
"上海";"2024-04-03T20:24:45+08:00";10618
"上海";"2024-04-03T20:25:00+08:00";10618
"上海";"2024-04-03T20:25:15+08:00";10611
"上海";"2024-04-03T20:25:30+08:00";10611
"上海";"2024-04-03T20:25:45+08:00";10589
"上海";"2024-04-03T20:26:00+08:00";10589
"上海";"2024-04-03T20:26:15+08:00";10590
"上海";"2024-04-03T20:26:30+08:00";10590
"上海";"2024-04-03T20:26:45+08:00";10590
"上海";"2024-04-03T20:27:00+08:00";10590
"云南";"2024-04-03T20:21:45+08:00";6840
"云南";"2024-04-03T20:22:00+08:00";6840
"云南";"2024-04-03T20:22:15+08:00";6844
"云南";"2024-04-03T20:22:30+08:00";6844
"云南";"2024-04-03T20:22:45+08:00";6866
"云南";"2024-04-03T20:23:00+08:00";6866
"云南";"2024-04-03T20:23:15+08:00";6857
"云南";"2024-04-03T20:23:30+08:00";6857
"云南";"2024-04-03T20:23:45+08:00";6856
"云南";"2024-04-03T20:24:00+08:00";6856
"云南";"2024-04-03T20:24:15+08:00";6864
"云南";"2024-04-03T20:24:30+08:00";6864
"云南";"2024-04-03T20:24:45+08:00";6874
"云南";"2024-04-03T20:25:00+08:00";6874
"云南";"2024-04-03T20:25:15+08:00";6878
"云南";"2024-04-03T20:25:30+08:00";6878
"云南";"2024-04-03T20:25:45+08:00";6886
"云南";"2024-04-03T20:26:00+08:00";6886
"云南";"2024-04-03T20:26:15+08:00";6887
"云南";"2024-04-03T20:26:30+08:00";6887
"云南";"2024-04-03T20:26:45+08:00";6887
"云南";"2024-04-03T20:27:00+08:00";6887
"内蒙古";"2024-04-03T20:21:45+08:00";2644
"内蒙古";"2024-04-03T20:22:00+08:00";2644
"内蒙古";"2024-04-03T20:22:15+08:00";2647
"内蒙古";"2024-04-03T20:22:30+08:00";2647
"内蒙古";"2024-04-03T20:22:45+08:00";2650
"内蒙古";"2024-04-03T20:23:00+08:00";2650
"内蒙古";"2024-04-03T20:23:15+08:00";2647
"内蒙古";"2024-04-03T20:23:30+08:00";2647
"内蒙古";"2024-04-03T20:23:45+08:00";2649
"内蒙古";"2024-04-03T20:24:00+08:00";2649
"内蒙古";"2024-04-03T20:24:15+08:00";2649
"内蒙古";"2024-04-03T20:24:30+08:00";2649
"内蒙古";"2024-04-03T20:24:45+08:00";2649
"内蒙古";"2024-04-03T20:25:00+08:00";2649
"内蒙古";"2024-04-03T20:25:15+08:00";2654
"内蒙古";"2024-04-03T20:25:30+08:00";2654
"内蒙古";"2024-04-03T20:25:45+08:00";2645
"内蒙古";"2024-04-03T20:26:00+08:00";2645
"内蒙古";"2024-04-03T20:26:15+08:00";2642
"内蒙古";"2024-04-03T20:26:30+08:00";2642
"内蒙古";"2024-04-03T20:26:45+08:00";2642
"内蒙古";"2024-04-03T20:27:00+08:00";2642
"北京";"2024-04-03T20:21:45+08:00";6940
"北京";"2024-04-03T20:22:00+08:00";6940
"北京";"2024-04-03T20:22:15+08:00";6942
"北京";"2024-04-03T20:22:30+08:00";6942
"北京";"2024-04-03T20:22:45+08:00";6976
"北京";"2024-04-03T20:23:00+08:00";6976
"北京";"2024-04-03T20:23:15+08:00";6996
"北京";"2024-04-03T20:23:30+08:00";6996
"北京";"2024-04-03T20:23:45+08:00";7022
"北京";"2024-04-03T20:24:00+08:00";7022
"北京";"2024-04-03T20:24:15+08:00";7033
"北京";"2024-04-03T20:24:30+08:00";7033
"北京";"2024-04-03T20:24:45+08:00";7065
"北京";"2024-04-03T20:25:00+08:00";7065
"北京";"2024-04-03T20:25:15+08:00";7071
"北京";"2024-04-03T20:25:30+08:00";7071
"北京";"2024-04-03T20:25:45+08:00";7093
"北京";"2024-04-03T20:26:00+08:00";7093
"北京";"2024-04-03T20:26:15+08:00";7113
"北京";"2024-04-03T20:26:30+08:00";7113
"北京";"2024-04-03T20:26:45+08:00";7113
"北京";"2024-04-03T20:27:00+08:00";7113
"吉林";"2024-04-03T20:21:45+08:00";2716
"吉林";"2024-04-03T20:22:00+08:00";2716
"吉林";"2024-04-03T20:22:15+08:00";2715
"吉林";"2024-04-03T20:22:30+08:00";2715
"吉林";"2024-04-03T20:22:45+08:00";2719
"吉林";"2024-04-03T20:23:00+08:00";2719
"吉林";"2024-04-03T20:23:15+08:00";2715
"吉林";"2024-04-03T20:23:30+08:00";2715
"吉林";"2024-04-03T20:23:45+08:00";2737
"吉林";"2024-04-03T20:24:00+08:00";2737
"吉林";"2024-04-03T20:24:15+08:00";2739
"吉林";"2024-04-03T20:24:30+08:00";2739
"吉林";"2024-04-03T20:24:45+08:00";2745
"吉林";"2024-04-03T20:25:00+08:00";2745
"吉林";"2024-04-03T20:25:15+08:00";2746
"吉林";"2024-04-03T20:25:30+08:00";2746
"吉林";"2024-04-03T20:25:45+08:00";2741
"吉林";"2024-04-03T20:26:00+08:00";2741
"吉林";"2024-04-03T20:26:15+08:00";2739
"吉林";"2024-04-03T20:26:30+08:00";2739
"吉林";"2024-04-03T20:26:45+08:00";2739
"吉林";"2024-04-03T20:27:00+08:00";2739
"四川";"2024-04-03T20:21:45+08:00";19568
"四川";"2024-04-03T20:22:00+08:00";19568
"四川";"2024-04-03T20:22:15+08:00";19573
"四川";"2024-04-03T20:22:30+08:00";19573
"四川";"2024-04-03T20:22:45+08:00";19586
"四川";"2024-04-03T20:23:00+08:00";19586
"四川";"2024-04-03T20:23:15+08:00";19599
"四川";"2024-04-03T20:23:30+08:00";19599
"四川";"2024-04-03T20:23:45+08:00";19665
"四川";"2024-04-03T20:24:00+08:00";19665
"四川";"2024-04-03T20:24:15+08:00";19669
"四川";"2024-04-03T20:24:30+08:00";19669
"四川";"2024-04-03T20:24:45+08:00";19674
"四川";"2024-04-03T20:25:00+08:00";19674
"四川";"2024-04-03T20:25:15+08:00";19663
"四川";"2024-04-03T20:25:30+08:00";19663
"四川";"2024-04-03T20:25:45+08:00";19663
"四川";"2024-04-03T20:26:00+08:00";19663
"四川";"2024-04-03T20:26:15+08:00";19699
"四川";"2024-04-03T20:26:30+08:00";19699
"四川";"2024-04-03T20:26:45+08:00";19699
"四川";"2024-04-03T20:27:00+08:00";19699
"天津";"2024-04-03T20:21:45+08:00";3379
"天津";"2024-04-03T20:22:00+08:00";3379
"天津";"2024-04-03T20:22:15+08:00";3372
"天津";"2024-04-03T20:22:30+08:00";3372
"天津";"2024-04-03T20:22:45+08:00";3372
"天津";"2024-04-03T20:23:00+08:00";3372
"天津";"2024-04-03T20:23:15+08:00";3354
"天津";"2024-04-03T20:23:30+08:00";3354
"天津";"2024-04-03T20:23:45+08:00";3347
"天津";"2024-04-03T20:24:00+08:00";3347
"天津";"2024-04-03T20:24:15+08:00";3333
"天津";"2024-04-03T20:24:30+08:00";3333
"天津";"2024-04-03T20:24:45+08:00";3340
"天津";"2024-04-03T20:25:00+08:00";3340
"天津";"2024-04-03T20:25:15+08:00";3338
"天津";"2024-04-03T20:25:30+08:00";3338
"天津";"2024-04-03T20:25:45+08:00";3336
"天津";"2024-04-03T20:26:00+08:00";3336
"天津";"2024-04-03T20:26:15+08:00";3335
"天津";"2024-04-03T20:26:30+08:00";3335
"天津";"2024-04-03T20:26:45+08:00";3335
"天津";"2024-04-03T20:27:00+08:00";3335
"宁夏";"2024-04-03T20:21:45+08:00";1201
"宁夏";"2024-04-03T20:22:00+08:00";1201
"宁夏";"2024-04-03T20:22:15+08:00";1199
"宁夏";"2024-04-03T20:22:30+08:00";1199
"宁夏";"2024-04-03T20:22:45+08:00";1202
"宁夏";"2024-04-03T20:23:00+08:00";1202
"宁夏";"2024-04-03T20:23:15+08:00";1204
"宁夏";"2024-04-03T20:23:30+08:00";1204
"宁夏";"2024-04-03T20:23:45+08:00";1208
"宁夏";"2024-04-03T20:24:00+08:00";1208
"宁夏";"2024-04-03T20:24:15+08:00";1212
"宁夏";"2024-04-03T20:24:30+08:00";1212
"宁夏";"2024-04-03T20:24:45+08:00";1216
"宁夏";"2024-04-03T20:25:00+08:00";1216
"宁夏";"2024-04-03T20:25:15+08:00";1217
"宁夏";"2024-04-03T20:25:30+08:00";1217
"宁夏";"2024-04-03T20:25:45+08:00";1218
"宁夏";"2024-04-03T20:26:00+08:00";1218
"宁夏";"2024-04-03T20:26:15+08:00";1219
"宁夏";"2024-04-03T20:26:30+08:00";1219
"宁夏";"2024-04-03T20:26:45+08:00";1219
"宁夏";"2024-04-03T20:27:00+08:00";1219
"安徽";"2024-04-03T20:21:45+08:00";14358
"安徽";"2024-04-03T20:22:00+08:00";14358
"安徽";"2024-04-03T20:22:15+08:00";14358
"安徽";"2024-04-03T20:22:30+08:00";14358
"安徽";"2024-04-03T20:22:45+08:00";14375
"安徽";"2024-04-03T20:23:00+08:00";14375
"安徽";"2024-04-03T20:23:15+08:00";14381
"安徽";"2024-04-03T20:23:30+08:00";14381
"安徽";"2024-04-03T20:23:45+08:00";14382
"安徽";"2024-04-03T20:24:00+08:00";14382
