大区, 省份, 用户数, 用户数在大区占比, 用户数在isp占比, 节点数, 节点数在大区占比, 节点数在isp占比, ip数, ip数在大区占比, ip数在isp占比, 需要带宽(Gbps), 可用带宽(Gbps), 是否需要增加带宽
华东, 江苏, 3232, 33.5%, 13.2%, 49, 66.2%, 37.4%, 49, 63.6%, 16.0%, , 184.3
华东, 浙江, 1860, 19.3%, 7.6%, 16, 21.6%, 12.2%, 16, 20.8%, 5.2%, , 27.8
华东, 上海, 1382, 14.3%, 5.7%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
华东, 安徽, 1301, 13.5%, 5.3%, 2, 2.7%, 1.5%, 2, 2.6%, 0.7%, , 3.8
华东, 江西, 955, 9.9%, 3.9%, 3, 4.1%, 2.3%, 3, 3.9%, 1.0%, , 12.4
华东, 福建, 529, 5.5%, 2.2%, 4, 5.4%, 3.1%, 7, 9.1%, 2.3%, , 9.0
华东, 山东, 376, 3.9%, 1.5%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
华东, 合计, 9635, 100.0%, 39.4%, 74, 100.0%, 56.5%, 77, 100.0%, 25.1%, 15.0,237.3, 否
华中, 湖北, 1851, 55.1%, 7.6%, 1, 12.5%, 0.8%, 1, 3.8%, 0.3%, , 0.1
华中, 湖南, 1039, 30.9%, 4.3%, 4, 50.0%, 3.1%, 4, 15.4%, 1.3%, , 2.2
华中, 河南, 471, 14.0%, 1.9%, 3, 37.5%, 2.3%, 21, 80.8%, 6.8%, , 3.4
华中, 合计, 3361, 100.0%, 13.8%, 8, 100.0%, 6.1%, 26, 100.0%, 8.5%, 5.1,5.7, 否
西南, 四川, 1499, 46.0%, 6.1%, 3, 75.0%, 2.3%, 6, 75.0%, 2.0%, , 1.6
西南, 重庆, 760, 23.3%, 3.1%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
西南, 云南, 514, 15.8%, 2.1%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
西南, 贵州, 347, 10.7%, 1.4%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
西南, 西藏, 137, 4.2%, 0.6%, 1, 25.0%, 0.8%, 2, 25.0%, 0.7%, , 1.6
西南, 合计, 3257, 100.0%, 13.3%, 4, 100.0%, 3.1%, 8, 100.0%, 2.6%, 1.6,3.2, 否
华南, 广东, 1867, 57.7%, 7.6%, 13, 68.4%, 9.9%, 43, 59.7%, 14.0%, , 7.0
华南, 广西, 1127, 34.8%, 4.6%, 2, 10.5%, 1.5%, 2, 2.8%, 0.7%, , 7.5
华南, 海南, 244, 7.5%, 1.0%, 4, 21.1%, 3.1%, 27, 37.5%, 8.8%, , 10.6
华南, 合计, 3238, 100.0%, 13.3%, 19, 100.0%, 14.5%, 72, 100.0%, 23.5%, 14.1,25.1, 否
西北, 新疆, 931, 38.2%, 3.8%, 2, 50.0%, 1.5%, 21, 28.0%, 6.8%, , 1.2
西北, 陕西, 879, 36.1%, 3.6%, 2, 50.0%, 1.5%, 54, 72.0%, 17.6%, , 2.9
西北, 甘肃, 324, 13.3%, 1.3%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
西北, 青海, 219, 9.0%, 0.9%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
西北, 宁夏, 85, 3.5%, 0.3%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
西北, 合计, 2438, 100.0%, 10.0%, 4, 100.0%, 3.1%, 75, 100.0%, 24.4%, 14.7,4.1, 是
华北, 河北, 726, 49.8%, 3.0%, 9, 60.0%, 6.9%, 9, 26.5%, 2.9%, , 16.0
华北, 北京, 311, 21.3%, 1.3%, 1, 6.7%, 0.8%, 1, 2.9%, 0.3%, , 1.9
华北, 天津, 178, 12.2%, 0.7%, 1, 6.7%, 0.8%, 14, 41.2%, 4.6%, , 1.4
华北, 内蒙古, 150, 10.3%, 0.6%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
华北, 山西, 92, 6.3%, 0.4%, 4, 26.7%, 3.1%, 10, 29.4%, 3.3%, , 2.3
华北, 合计, 1457, 100.0%, 6.0%, 15, 100.0%, 11.5%, 34, 100.0%, 11.1%, 6.6,21.6, 否
东北, 辽宁, 416, 40.7%, 1.7%, 7, 100.0%, 5.3%, 15, 100.0%, 4.9%, , 17.8
东北, 黑龙江, 334, 32.7%, 1.4%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
东北, 吉林, 272, 26.6%, 1.1%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
东北, 合计, 1022, 100.0%, 4.2%, 7, 100.0%, 5.3%, 15, 100.0%, 4.9%, 2.9,17.8, 否
其它, 澳门, 22, 100.0%, 0.1%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, , 0.0
其它, 合计, 22, 100.0%, 0.1%, 0, 0.0%, 0.0%, 0, 0.0%, 0.0%, 0.0,0.0, 否
