ClientType,Cts,DimIp,DimIsp,DimCdndomain,DimCdnip,DimCoderatebps,DimHeartType,DimIsInBackground,DimLine,DimNetworktype,DimPlatform,DimStream,DimStreamUrl,DimVersion,FieldVideoBadQuality,InsertTs,LogTime,Systs,Minute,Innerreporttime,Innerfilepath,Day,Hour
sdk_video_bad_quality_ratio,1764727384,223.221.110.225,chinatelecom.com.cn,qn.flv.huya.com,61.160.237.170,8000000,1,,19,0,pc_exe,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=b760a63f10e483415f4558b7dfc45a80&wstime=692f8ebf&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_pc_exe&fs=gctex&uid=1199642400640&t=0&hxtype=0&sdkpcdn=1_1,7040103,0,1764727392290,1764727384,1764727391,00,1764727392500161510,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727403,45.88.182.4,ACloud SIA,qn.flv.huya.com,121.29.19.56,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199644375883&uuid=1199644375883&wssecret=42d2fbfefbc04af6c4afd60bfde740cc&wstime=692f98b4&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_hysdk-ios&fs=gctex&ratio=4000&streamtype=0&t=3&hxtype=0&startpts=3124050&sdkpcdn=1_1,13.0.60,,1764727410347,1764727403,1764727409,00,1764727411210736795,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727412,171.114.6.226,chinatelecom.com.cn,http://qn.flv.huya.com,61.160.237.170,4000000,1,,19,0,pc_exe,1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=f1fdaf15b4279b1a5e32ace3e9a38b90&wstime=692f9ad9&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_commserver&fs=gct&ratio=4000&codec=264,3020006,100,1764727414275,1764727412,1764727414,00,1764727414500376899,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727405,171.213.250.225,chinatelecom.com.cn,qn.flv.huya.com,103.220.65.233,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1622265344&uuid=1622265344&wssecret=5bc787e3b924f0362d095a0208fbcdf1&wstime=692f9abe&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&codec=264&ratio=4000&t=3&hxtype=0,8.3.0,0,1764727417346,1764727405,1764727417,00,1764727418214552507,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727381,106.226.189.190,chinatelecom.com.cn,[2409:8728:46e0:20::49]:23657,2409:8728:46e0:20::49,2000000,1,,19,wifi,adr,,http://[2409:8728:46e0:20::49]:23657/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc_cxdexxtpl_huyaxsrcx_null_2000.flv?connectid=mfuhtbbvp438kx0y&ctype=huya_adr&domain=qn.flv.huya.com&fs=gctex&hxtype=0&ratio=2000&sdkpcdn=1_1&seqid=2944340070&streamtype=0&t=2&u=1471089577308&uid=1470430954893&uuid=1470430954893&ver=1&wssecret=738458da965d29505c06f7ea43adc78e&wstime=692f99cd,13.0.52,,1764727398130,1764727381,1764727397,00,1764727398996428720,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727385,171.213.250.225,chinatelecom.com.cn,qn.flv.huya.com,103.220.65.233,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1622265344&uuid=1622265344&wssecret=5bc787e3b924f0362d095a0208fbcdf1&wstime=692f9abe&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&codec=264&ratio=4000&t=3&hxtype=0,8.3.0,0,1764727398130,1764727385,1764727398,00,1764727398996428720,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727389,120.228.113.110,chinamobile.com,36.158.249.250:23912,36.158.249.250,8000000,1,,19,wifi,adr,,http://36.158.249.250:23912/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc.flv?connectid=duqwmzhtbjvwkx0y&ctype=huya_hysdk-adr&domain=qn.flv.huya.com&fs=gctex&hxtype=0&sdkpcdn=1_1&seqid=3470201005&streamtype=0&t=2&u=4181043547&uid=1543058857&uuid=1543058857&ver=1&wssecret=d7cf1dd3c58ab54215bf1402d739f096&wstime=692f9a58,12.6.62,,1764727398130,1764727389,1764727398,00,1764727398996428720,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727403,112.10.221.184,chinamobile.com,http://qn.flv.huya.com,117.149.247.214,8000000,1,,19,0,pc_exe,1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=328fea75e133314e8546f9a982170345&wstime=692f97fe&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_commserver&fs=gctex,3020006,0,1764727404375,1764727403,1764727403,00,1764727405134172468,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727391,14.144.160.32,chinatelecom.com.cn,221.7.192.66:23211,221.7.192.66,4000000,1,0,19,wifi,ipad,,http://221.7.192.66:23211/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc_cxdexxtpl_huyaxsrcx_264_4000.flv?codec=264&connectid=k2ka1ebdiggokx0y&ctype=huya_ipad&domain=qn.flv.huya.com&fs=bgct&hxtype=0&ratio=4000&seqid=1906392136&t=3&uid=1199533654237&uuid=1199533654237&wssecret=726f24b5681564bb53874503f8360d33&wstime=6930e317,5.1.4,0,1764727399609,1764727391,1764727398,00,1764727399985516114,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
web_video_bad_quality_ratio,1764727397,118.238.208.200,Sony Network Communications Inc.,qn.flv.huya.com,,8000000,1,,19,,webh5,1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus,https://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=5b08f6fd77fc8a85795cb201f69ab993&wstime=692f994c&seqid=2964382788396&ctype=huya_webh5&ver=1&fs=gctex&dmod=mseh-0&sdkpcdn=1_1&u=1198588470353&t=100&sv=2511190158&sdk_sid=1764723675370&a_block=0,2511201047,,1764727400303,1764727397,1764727399,00,1764727400985406346,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
