Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-07 11:36:44.351][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=2047611614, vt=2/96, sts=26039/17402400/0x283c209, muxer (nil) lost_rate:00% req_id:
[2023-11-07 11:39:34.417][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-2077301161, vt=2/96, sts=42687/32328001/0x283c209, muxer (nil) lost_rate:00% req_id:
[2023-11-07 11:40:48.896][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-2002821905, vt=2/96, sts=46920/38991601/0x283c209, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:30.882][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=-60693113, vt=2/96, sts=5/0/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:50.266][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=-41311225, vt=2/96, sts=5805/1296000/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:08:21.729][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=470141705, vt=2/96, sts=33690/47343600/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:11:05.692][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=634098310, vt=2/96, sts=3118/61279201/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:13:41.856][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=790278305, vt=2/96, sts=35958/75150270/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:21:24.315][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1252735694, vt=2/96, sts=1845/118177201/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:24:41.206][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1449630227, vt=2/96, sts=14117/134722801/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:26:03.855][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1532273763, vt=2/96, sts=19165/141904801/0x278a104, muxer (nil) lost_rate:00% req_id:
