Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-29 21:27:10.792][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14384) ps rtp packet 1404B, age=-1332998124, vt=2/96, sts=17726/26215200/0x284010a, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:57:44.294][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 1404B, age=1113193643, vt=2/96, sts=0/0/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:59:39.306][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 1404B, age=1228204803, vt=2/96, sts=11222/10238400/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:00:24.826][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 1404B, age=1273713278, vt=2/96, sts=15247/14166000/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:07:53.669][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=1722557349, vt=2/96, sts=58617/54784801/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:10:29.390][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=1878285108, vt=2/96, sts=8381/68680801/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:16:57.427][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 1404B, age=-2028654042, vt=2/96, sts=45123/103338000/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:29:07.250][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=-1298819969, vt=2/96, sts=47519/168973280/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:41:47.632][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=-538434672, vt=2/96, sts=51532/237686401/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:42:10.143][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=-515923078, vt=2/96, sts=53422/239468401/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:47:04.635][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=-221430479, vt=2/96, sts=16284/266108405/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:47:51.400][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=-174672697, vt=2/96, sts=20805/270378012/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:48:13.904][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 1404B, age=-152178893, vt=2/96, sts=23039/272516760/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:48:59.132][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 1404B, age=-106941084, vt=2/96, sts=27262/276336000/0x283870f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:53:27.495][Trace][40071][w3h3j544] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=161413946, vt=2/96, sts=53387/300870020/0x283870f, muxer (nil) lost_rate:00% req_id:
