Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-01 19:17:08.409][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 1404B, age=947174729, vt=2/96, sts=26789/26010000/0x283670f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:40:58.021][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14068) ps rtp packet 321B, age=-1417518118, vt=2/96, sts=9247/5886022/0x283a209, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:49:21.732][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14100) ps rtp packet 321B, age=-913805308, vt=2/96, sts=10083/51235201/0x283a209, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:25:31.515][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14184) ps rtp packet 115B, age=-578596968, vt=2/96, sts=57070/152564386/0x28b0a0b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:51:07.267][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14184) ps rtp packet 321B, age=957143962, vt=2/96, sts=18906/290516388/0x28b0a0b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 12:59:26.270][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14184) ps rtp packet 321B, age=761189847, vt=2/96, sts=21028/659656801/0x28b0a0b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 13:01:26.174][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14184) ps rtp packet 1075B, age=881094657, vt=2/96, sts=38526/670496386/0x28b0a0b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 13:50:19.942][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14184) ps rtp packet 1404B, age=-480107864, vt=2/96, sts=63787/934178386/0x28b0a0b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 18:53:03.785][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=503866051, vt=2/96, sts=6146/8755200/0x2838403, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:19:17.009][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=674022747, vt=2/96, sts=18369/12744000/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:20:44.268][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=761281591, vt=2/96, sts=29057/20584800/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:22:11.112][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=848112415, vt=2/96, sts=39086/28418401/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:22:55.163][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=892166398, vt=2/96, sts=43940/32371200/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:26:20.142][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=1097145619, vt=2/96, sts=3202/50824800/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:26:41.832][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1118836460, vt=2/96, sts=4867/52758009/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:29:01.323][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1258332668, vt=2/96, sts=14963/65325871/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:30:34.170][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=1351183266, vt=2/96, sts=20559/73706400/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:34:50.722][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=1607735085, vt=2/96, sts=40320/96771600/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:40:35.192][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=1952197465, vt=2/96, sts=7889/127778400/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:47:44.223][Trace][27590][61k5z830] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=-1913736593, vt=2/96, sts=47942/166374000/0x283a205, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:00:38.752][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14312) ps rtp packet 1404B, age=356750720, vt=2/96, sts=47504/232164000/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:47:13.358][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14260) ps rtp packet 1404B, age=-1143601755, vt=2/96, sts=28841/226353600/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:52:32.117][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-824839756, vt=2/96, sts=2856/512712000/0x2706406, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-28 11:43:15.578][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14248) ps rtp packet 321B, age=1773974097, vt=2/96, sts=64814/392846401/0x2834d0a, muxer (nil) lost_rate:00% req_id:
[2023-10-28 17:35:44.697][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 1404B, age=1448261696, vt=2/96, sts=13037/118789200/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-28 18:40:50.590][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14456) ps rtp packet 321B, age=1059189118, vt=2/96, sts=63046/469987201/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:08:13.657][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 321B, age=-772583618, vt=2/96, sts=25327/2238134398/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 00:19:00.599][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14516) ps rtp packet 321B, age=-125640614, vt=2/96, sts=27040/2296385989/0x2706406, muxer (nil) lost_rate:00% req_id:
