Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-30 09:34:39.551][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14524) ps rtp packet 321B, age=-653809158, vt=2/96, sts=26140/74174413/0x283e001, muxer (nil) lost_rate:00% req_id:
[2023-10-30 10:30:38.744][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 321B, age=-1589583227, vt=2/96, sts=27984/47977201/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-10-30 10:33:18.589][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 321B, age=-1429735366, vt=2/96, sts=35391/62211601/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:05:52.730][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 1388B, age=-2143435340, vt=2/96, sts=44874/148941900/0x68e10e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:13:59.075][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 1404B, age=-1657099877, vt=2/96, sts=24850/192716370/0x68e10e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:14:52.414][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 1404B, age=-1603755938, vt=2/96, sts=37155/197516250/0x68e10e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:43:42.174][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 1404B, age=-1263929796, vt=2/96, sts=31303/20685600/0x283a20c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:52:35.024][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14200) ps rtp packet 1404B, age=-731076625, vt=2/96, sts=37257/68630400/0x283a20c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:20:47.797][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=961696751, vt=2/96, sts=62374/220979070/0x283a20c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:22:18.917][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=1052817779, vt=2/96, sts=10811/229190670/0x283a20c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:19:26.509][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14108) ps rtp packet 1404B, age=-509529118, vt=2/96, sts=33415/103248000/0x283a207, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:58:26.463][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14108) ps rtp packet 1404B, age=1830426971, vt=2/96, sts=39418/313840800/0x283a207, muxer (nil) lost_rate:00% req_id:
[2023-11-02 23:36:06.302][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14108) ps rtp packet 1404B, age=-204709924, vt=2/96, sts=30257/517251600/0x283a207, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:05:57.902][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14108) ps rtp packet 321B, age=1586889587, vt=2/96, sts=42434/678459603/0x283a207, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:12:24.018][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14108) ps rtp packet 1404B, age=1973011615, vt=2/96, sts=14963/713217600/0x283a207, muxer (nil) lost_rate:00% req_id:
