Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-04 14:38:56.169][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14000) ps rtp packet 1404B, age=-1380741915, vt=2/96, sts=0/0/0x283a607, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:48:13.360][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14244) ps rtp packet 1404B, age=-1907140401, vt=2/96, sts=0/0/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:03:02.716][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1017791465, vt=2/96, sts=0/0/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:11:30.491][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-510014668, vt=2/96, sts=49384/46047600/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:14:24.662][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-335837480, vt=2/96, sts=31823/61185600/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:14:46.500][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-314015212, vt=2/96, sts=38175/62578800/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:19:51.922][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-8580002, vt=2/96, sts=59013/89809221/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:21:44.433][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=103923792, vt=2/96, sts=25334/100980000/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:32:46.671][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=766160534, vt=2/96, sts=6460/160945470/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:38:58.615][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1138115590, vt=2/96, sts=47767/194565619/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:47:03.560][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1623060405, vt=2/96, sts=57884/237736800/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 18:59:14.480][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-1940996427, vt=2/96, sts=8323/302749205/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:27:15.060][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-260408270, vt=2/96, sts=26463/455385600/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:29:46.133][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-109334359, vt=2/96, sts=4754/467269200/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:32:14.571][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=39102343, vt=2/96, sts=48690/480848403/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:35:51.791][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=256320183, vt=2/96, sts=47539/500734800/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 19:53:12.689][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1297218379, vt=2/96, sts=29866/593884800/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 20:32:16.120][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-654315134, vt=2/96, sts=26298/806374786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:02:17.909][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1147466329, vt=2/96, sts=62069/968177069/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:04:05.154][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1254707948, vt=2/96, sts=26138/976532387/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:05:11.380][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1320942850, vt=2/96, sts=43821/982501186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:06:38.734][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1408299677, vt=2/96, sts=1654/991706386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:18:18.965][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=2108530390, vt=2/96, sts=64525/1053532805/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:21:51.269][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1974140838, vt=2/96, sts=57386/1074157186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:31:39.342][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1248B, age=-1386061696, vt=2/96, sts=22979/1125363586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:34:52.957][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1192461238, vt=2/96, sts=10815/1142967586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:41:46.156][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-779261198, vt=2/96, sts=57460/1181289586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:43:32.244][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-673157906, vt=2/96, sts=21565/1189666795/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:50:50.031][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-235376951, vt=2/96, sts=12498/1230004786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 21:59:42.721][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=297313332, vt=2/96, sts=26294/1278507589/0x278a107, muxer (nil) lost_rate:00% req_id:
