Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-29 12:08:03.688][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=-578937659, vt=2/96, sts=0/0/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:13:35.236][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=-247389794, vt=2/96, sts=22058/29696783/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:14:32.742][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=-189883729, vt=2/96, sts=25981/34956000/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:27:25.906][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=583269117, vt=2/96, sts=26091/104576400/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:30:40.917][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=778278330, vt=2/96, sts=43434/122018406/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:38:25.644][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=1243015643, vt=2/96, sts=17736/163620007/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:47:11.379][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=1768749594, vt=2/96, sts=5530/210931201/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:51:24.663][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=2022037129, vt=2/96, sts=31530/234003601/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:53:39.073][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1267B, age=-2138519678, vt=2/96, sts=44683/246099600/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:54:17.486][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=-2100118805, vt=2/96, sts=48279/249555601/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:58:30.861][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=-1846734374, vt=2/96, sts=9285/272322001/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:02:20.609][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=-1616997907, vt=2/96, sts=33218/292989600/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:02:58.641][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=-1578956101, vt=2/96, sts=37023/296406013/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:34:15.248][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14256) ps rtp packet 1404B, age=297647998, vt=2/96, sts=35388/181422000/0x2840108, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:39:21.667][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=604073665, vt=2/96, sts=27531/492912020/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:50:52.965][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=1295370919, vt=2/96, sts=40709/555174000/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:51:12.165][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 321B, age=1314572219, vt=2/96, sts=42906/556966813/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 14:10:43.030][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=-1809548612, vt=2/96, sts=20414/662220000/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 14:24:05.492][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14204) ps rtp packet 1404B, age=-1007080396, vt=2/96, sts=29001/734482800/0x284010c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:16:50.239][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=1380410902, vt=2/96, sts=44542/76831201/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:18:11.172][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 902B, age=1461357706, vt=2/96, sts=48197/84081600/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:20:28.535][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=1598712393, vt=2/96, sts=54410/96411648/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:27:45.466][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=2035641620, vt=2/96, sts=9208/135871216/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:31:40.165][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=-2024622822, vt=2/96, sts=20217/156934801/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:46:06.412][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 321B, age=-1158368186, vt=2/96, sts=50055/33663609/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:49:03.693][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=-981096310, vt=2/96, sts=8659/49618800/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:51:22.427][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=-842355224, vt=2/96, sts=6277/263361601/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:54:41.426][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-643358808, vt=2/96, sts=54956/80006400/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:05:47.563][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=22779042, vt=2/96, sts=47872/341193613/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:06:47.733][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=82949039, vt=2/96, sts=52048/145396802/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:12:08.012][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 1404B, age=403228369, vt=2/96, sts=42342/174218670/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:23:25.601][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=1080820184, vt=2/96, sts=29054/436424401/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:27:27.890][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=1323105315, vt=2/96, sts=60687/256993200/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:28:47.202][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=1402419207, vt=2/96, sts=44096/465404400/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:35:04.129][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1255B, age=1779345998, vt=2/96, sts=62669/499215600/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:36:02.813][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=1838031901, vt=2/96, sts=43/504550803/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:40:56.837][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=2132048360, vt=2/96, sts=14568/531046800/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:46:45.723][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=-1814030670, vt=2/96, sts=29805/562420800/0x283e00b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:54:46.151][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 321B, age=-1333602619, vt=2/96, sts=20677/404434803/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:56:10.728][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 1404B, age=266077545, vt=2/96, sts=0/0/0x283c20b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:57:32.321][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 1404B, age=347671549, vt=2/96, sts=5867/7214400/0x283c20b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:58:13.102][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 1404B, age=388446902, vt=2/96, sts=8879/10936800/0x283c20b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 13:11:22.476][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=1428153817, vt=2/96, sts=56023/162195660/0x28b690a, muxer (nil) lost_rate:00% req_id:
[2023-11-03 17:38:25.790][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14388) ps rtp packet 321B, age=271584838, vt=2/96, sts=42993/36266761/0x283a201, muxer (nil) lost_rate:00% req_id:
[2023-11-03 19:31:13.275][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=-1550863730, vt=2/96, sts=54548/144460800/0x283a203, muxer (nil) lost_rate:00% req_id:
[2023-11-03 19:49:20.650][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=-463476662, vt=2/96, sts=11834/242373600/0x283a203, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:04:08.632][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 321B, age=424505622, vt=2/96, sts=46553/322232402/0x283a203, muxer (nil) lost_rate:00% req_id:
[2023-11-03 20:10:59.138][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 321B, age=835009885, vt=2/96, sts=24466/359197561/0x283a203, muxer (nil) lost_rate:00% req_id:
[2023-11-04 15:56:28.548][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=-1050027113, vt=2/96, sts=9035/5587200/0x283c20a, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:08:59.693][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=-298887396, vt=2/96, sts=30139/72975600/0x283c20a, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:18:23.612][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 321B, age=265032961, vt=2/96, sts=26634/123656409/0x283c20a, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:23:45.413][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 321B, age=586831860, vt=2/96, sts=60899/152460022/0x283c20a, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:28:55.284][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=896703778, vt=2/96, sts=26553/180565200/0x283c20a, muxer (nil) lost_rate:00% req_id:
[2023-11-04 16:30:26.804][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=988233681, vt=2/96, sts=35048/188615070/0x283c20a, muxer (nil) lost_rate:00% req_id:
[2023-11-07 11:36:44.351][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=2047611614, vt=2/96, sts=26039/17402400/0x283c209, muxer (nil) lost_rate:00% req_id:
[2023-11-07 11:39:34.417][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-2077301161, vt=2/96, sts=42687/32328001/0x283c209, muxer (nil) lost_rate:00% req_id:
[2023-11-07 11:40:48.896][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-2002821905, vt=2/96, sts=46920/38991601/0x283c209, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:30.882][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=-60693113, vt=2/96, sts=5/0/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:50.266][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=-41311225, vt=2/96, sts=5805/1296000/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:08:21.729][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=470141705, vt=2/96, sts=33690/47343600/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:11:05.692][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=634098310, vt=2/96, sts=3118/61279201/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:13:41.856][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=790278305, vt=2/96, sts=35958/75150270/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:21:24.315][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1252735694, vt=2/96, sts=1845/118177201/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:24:41.206][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1449630227, vt=2/96, sts=14117/134722801/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:26:03.855][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=1532273763, vt=2/96, sts=19165/141904801/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:54:18.946][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=-1067607058, vt=2/96, sts=18489/295196406/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:57:59.557][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=-846990115, vt=2/96, sts=39691/315687600/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:16:00.070][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=233526941, vt=2/96, sts=62363/410533319/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:21:40.603][Trace][41981][l7f78732] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=574057667, vt=2/96, sts=1777/442382452/0x278a104, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:13:48.909][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 321B, age=1097926303, vt=2/96, sts=32160/303624001/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:14:27.235][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1246B, age=1136251280, vt=2/96, sts=40464/307076400/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:15:06.380][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1404B, age=1175380389, vt=2/96, sts=48525/310597470/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:21:37.056][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=1566058787, vt=2/96, sts=915/345758401/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:26:45.754][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=1874771002, vt=2/96, sts=561/373543200/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:32:00.473][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 321B, age=-2105479976, vt=2/96, sts=461/401864401/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:39:34.555][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 321B, age=-1651401193, vt=2/96, sts=28163/442728001/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:05:12.041][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 321B, age=-113918634, vt=2/96, sts=18748/581101201/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:10:44.205][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1404B, age=218253603, vt=2/96, sts=21722/610995600/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:15:18.398][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 1404B, age=492447633, vt=2/96, sts=14829/635673600/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:20:30.132][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=804178902, vt=2/96, sts=16230/663725070/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:26:58.855][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 1404B, age=1192901927, vt=2/96, sts=36586/698713200/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:32:51.843][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=1545892327, vt=2/96, sts=49214/730479600/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:33:51.163][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=1605211291, vt=2/96, sts=62251/735814800/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:42:18.482][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 321B, age=2112519607, vt=2/96, sts=42394/781473601/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:50:23.417][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-1697504223, vt=2/96, sts=18818/825112801/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:51:20.679][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1404B, age=-1640247535, vt=2/96, sts=31504/830271600/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:59:06.446][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1404B, age=-1174472351, vt=2/96, sts=2993/872190000/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:59:26.006][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 321B, age=-1154924125, vt=2/96, sts=7369/873946802/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:08:09.228][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1404B, age=-631690882, vt=2/96, sts=57163/921035070/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:13:22.672][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-318249718, vt=2/96, sts=61445/949248000/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:16:16.636][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-144283429, vt=2/96, sts=34644/964900800/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:30:16.771][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 321B, age=695852533, vt=2/96, sts=24436/1040511601/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:41:38.267][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1404B, age=1377349103, vt=2/96, sts=42835/1101844800/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:47:52.929][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 1404B, age=1751992294, vt=2/96, sts=57303/1135566000/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:57:00.380][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 321B, age=-1995505123, vt=2/96, sts=44201/1184832001/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:03:51.694][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 321B, age=-1584190446, vt=2/96, sts=2368/1221847201/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:25:00.431][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=-315463111, vt=2/96, sts=21066/1336035600/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:44:08.195][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 321B, age=832308998, vt=2/96, sts=13525/1439326801/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:49:20.601][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=1144710786, vt=2/96, sts=17649/1467442800/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:54:31.443][Trace][42025][4757q9uo] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 1404B, age=1455558079, vt=2/96, sts=21263/1495422270/0x270640b, muxer (nil) lost_rate:00% req_id:
