Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-29 13:07:28.964][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-1619006634, vt=2/96, sts=0/0/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:15:04.299][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-1163689527, vt=2/96, sts=16748/40998420/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:15:32.695][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-1135278557, vt=2/96, sts=17775/43520220/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:18:00.211][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-987767182, vt=2/96, sts=23612/56842920/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:20:48.142][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-819833254, vt=2/96, sts=29611/71920080/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:21:30.610][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-777378443, vt=2/96, sts=31196/75774960/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:23:57.138][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-630835800, vt=2/96, sts=36574/88960680/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:26:49.733][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=-458243750, vt=2/96, sts=42832/104452200/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:35:18.060][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=50080547, vt=2/96, sts=61144/150260040/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:35:42.956][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=74975698, vt=2/96, sts=61964/152457660/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:42:57.247][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=509274207, vt=2/96, sts=10988/191550240/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:51:23.353][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=1015371681, vt=2/96, sts=28947/237123990/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:52:56.266][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=1108296709, vt=2/96, sts=32449/245435310/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:59:06.218][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=1478249742, vt=2/96, sts=45055/278662680/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:59:34.621][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14264) ps rtp packet 1404B, age=1506651495, vt=2/96, sts=45937/281317860/0x283e101, muxer (nil) lost_rate:00% req_id:
[2023-10-29 21:27:57.264][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14052) ps rtp packet 321B, age=-1655476048, vt=2/96, sts=19694/30398401/0x284010b, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:34:37.968][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=-309478673, vt=2/96, sts=4619/74509206/0x2840103, muxer (nil) lost_rate:00% req_id:
[2023-10-30 10:24:49.377][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14052) ps rtp packet 1404B, age=2006959749, vt=2/96, sts=9331/16556400/0x2840104, muxer (nil) lost_rate:00% req_id:
