Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 10:00:54.597][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 1404B, age=-445411383, vt=2/96, sts=18697/29178000/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 10:09:45.820][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 1404B, age=85814447, vt=2/96, sts=49506/76996800/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 10:30:28.896][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=1328888861, vt=2/96, sts=43895/188834408/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 10:42:42.166][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 257B, age=2062158333, vt=2/96, sts=22187/254901600/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:04:58.538][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 1404B, age=-896436500, vt=2/96, sts=28097/375440400/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:14:50.596][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=-304384484, vt=2/96, sts=44710/428824803/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:28:31.764][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 1404B, age=516780076, vt=2/96, sts=27860/502671600/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:32:29.585][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=754612095, vt=2/96, sts=59986/524066434/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:45:10.288][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 1404B, age=1515305634, vt=2/96, sts=24288/592545600/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:08:12.720][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 321B, age=-1397231175, vt=2/96, sts=49196/41860801/0x2838704, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:12:35.339][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 321B, age=-1134606028, vt=2/96, sts=12715/65480402/0x2838704, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:33:54.355][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=144412557, vt=2/96, sts=62437/855331201/0x283c204, muxer (nil) lost_rate:00% req_id:
[2023-10-31 23:05:29.416][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 321B, age=886724613, vt=2/96, sts=6017/11484003/0x278a10d, muxer (nil) lost_rate:00% req_id:
[2023-10-31 23:10:55.222][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 321B, age=1212534711, vt=2/96, sts=10336/40921237/0x278a10d, muxer (nil) lost_rate:00% req_id:
[2023-11-01 00:03:20.449][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 1404B, age=62796464, vt=2/96, sts=17115/13679280/0x283e107, muxer (nil) lost_rate:00% req_id:
[2023-11-01 00:27:44.260][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 1404B, age=1526604888, vt=2/96, sts=17674/145104570/0x283e107, muxer (nil) lost_rate:00% req_id:
[2023-11-01 00:49:17.967][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 1404B, age=-1474666064, vt=2/96, sts=62732/261373410/0x283e107, muxer (nil) lost_rate:00% req_id:
[2023-11-01 00:54:04.095][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 1404B, age=-1188525556, vt=2/96, sts=21097/287150490/0x283e107, muxer (nil) lost_rate:00% req_id:
[2023-11-01 09:04:19.609][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1837786257, vt=2/96, sts=11646/18387990/0x283e10b, muxer (nil) lost_rate:00% req_id:
[2023-11-01 09:19:46.265][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-911134822, vt=2/96, sts=65479/101865420/0x283e10b, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:32:22.363][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14768) ps rtp packet 321B, age=-1544969915, vt=2/96, sts=36172/167947211/0x2838407, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:33:00.280][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14768) ps rtp packet 1404B, age=-1507045379, vt=2/96, sts=39993/171514800/0x2838407, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:37:39.288][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14768) ps rtp packet 1404B, age=-1228052117, vt=2/96, sts=518/196506000/0x2838407, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:50:54.522][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14768) ps rtp packet 1404B, age=-432802011, vt=2/96, sts=6636/267940800/0x2838407, muxer (nil) lost_rate:00% req_id:
