Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-27 21:02:45.483][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=312758007, vt=2/96, sts=56315/243623070/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:03:45.589][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=372880094, vt=2/96, sts=56777/249027120/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:05:45.628][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=492907303, vt=2/96, sts=2416/260000820/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:07:43.996][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=611275909, vt=2/96, sts=43833/270653940/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:08:12.132][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=639420948, vt=2/96, sts=54080/273186540/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:10:32.792][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=780064624, vt=2/96, sts=37182/285839190/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:23:09.646][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1536934685, vt=2/96, sts=39932/353897100/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:35:32.896][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-2014788744, vt=2/96, sts=36863/420852690/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:39:56.272][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1751405780, vt=2/96, sts=63898/444554640/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:48:34.246][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1233443791, vt=2/96, sts=59065/491137110/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:48:59.706][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1207982021, vt=2/96, sts=3178/493464420/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:50:31.891][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1115793023, vt=2/96, sts=36593/501757740/0x27f8c08, muxer (nil) lost_rate:00% req_id:
