Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-30 09:20:29.032][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 321B, age=-1681501921, vt=2/96, sts=8888/13536008/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-30 09:29:44.619][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 321B, age=-1125917024, vt=2/96, sts=44367/63457563/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-30 09:43:28.897][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 321B, age=-301638795, vt=2/96, sts=30490/137703607/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-30 09:51:15.929][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 321B, age=165403126, vt=2/96, sts=56438/179769602/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-30 09:55:46.943][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=436416109, vt=2/96, sts=7601/203508000/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-30 09:56:05.179][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=454643330, vt=2/96, sts=8490/205182000/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-30 09:57:52.074][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=561548158, vt=2/96, sts=13753/214812000/0x2840107, muxer (nil) lost_rate:00% req_id:
[2023-10-31 16:45:37.660][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 1404B, age=-242017839, vt=2/96, sts=0/0/0x2840101, muxer (nil) lost_rate:00% req_id:
[2023-10-31 16:49:12.404][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 321B, age=-27276139, vt=2/96, sts=14374/19303187/0x2840101, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:35:10.176][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=131802226, vt=2/96, sts=0/0/0x284010b, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:36:22.878][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=204507233, vt=2/96, sts=3673/6472440/0x284010b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 15:34:33.691][Trace][10736][p1eq0y39] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 1404B, age=1290942370, vt=2/96, sts=2875/3608010/0x283e404, muxer (nil) lost_rate:00% req_id:
