Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 09:51:00.222][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=-863049669, vt=2/96, sts=1184/1432801/0x2840105, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:04:14.001][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1351B, age=-764237035, vt=2/96, sts=14945/20686410/0x283e403, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:08:46.636][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-491605484, vt=2/96, sts=31530/45164340/0x283e403, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:21:58.593][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=300341090, vt=2/96, sts=15387/116409060/0x283e403, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:53:27.973][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1336B, age=-2105235033, vt=2/96, sts=3651/286447860/0x283e403, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:22:56.193][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=-850804331, vt=2/96, sts=13948/11437216/0x2840106, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:23:20.130][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-826868363, vt=2/96, sts=17082/13651200/0x2840106, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:26:28.813][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-638185394, vt=2/96, sts=33948/30549600/0x2840106, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:28:28.476][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-518521067, vt=2/96, sts=44160/41335200/0x2840106, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:32:37.188][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-269813946, vt=2/96, sts=61833/63745200/0x2840106, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:34:33.432][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=-153564733, vt=2/96, sts=4407/74221205/0x2840106, muxer (nil) lost_rate:00% req_id:
[2023-10-30 08:35:43.411][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-83590609, vt=2/96, sts=9271/80474400/0x2840106, muxer (nil) lost_rate:00% req_id:
