Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-27 21:00:38.575][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=149794114, vt=2/96, sts=55440/232202610/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:05:27.482][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=438714864, vt=2/96, sts=61410/258372450/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:07:22.506][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=553738873, vt=2/96, sts=35749/268661610/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:08:12.510][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=603740470, vt=2/96, sts=54211/273222630/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:16:19.529][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1090767111, vt=2/96, sts=26406/316987830/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:17:55.517][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1186749121, vt=2/96, sts=59614/325691820/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:19:35.599][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1286837032, vt=2/96, sts=29928/334633680/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:36:24.574][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1999169629, vt=2/96, sts=55446/425507310/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:39:10.107][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1833623065, vt=2/96, sts=46719/440404380/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:39:33.672][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1810057069, vt=2/96, sts=55487/442522710/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:42:07.191][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1656538306, vt=2/96, sts=46755/456338970/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:46:05.667][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1418064696, vt=2/96, sts=4222/477803610/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:59:31.767][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-611975344, vt=2/96, sts=5018/550303740/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:01:58.482][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-465248653, vt=2/96, sts=51899/563554350/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:12:55.141][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=191409893, vt=2/96, sts=20270/622652490/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:21:11.961][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=688230004, vt=2/96, sts=942/667365120/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:47:16.611][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-2042093024, vt=2/96, sts=55145/808182540/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:51:26.635][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1792065172, vt=2/96, sts=16833/830684880/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:55:11.679][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1567020733, vt=2/96, sts=34661/850939020/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:00:32.226][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1246476576, vt=2/96, sts=20913/879785550/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:03:51.330][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1047367424, vt=2/96, sts=24601/897705270/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:04:06.193][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1032509163, vt=2/96, sts=30074/899041860/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:06:41.930][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-876773538, vt=2/96, sts=21649/912994920/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:12:27.845][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-530852854, vt=2/96, sts=19061/944190450/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:13:17.848][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-480848126, vt=2/96, sts=37623/948690180/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:14:07.841][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-430855776, vt=2/96, sts=56131/953189910/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:21:05.256][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-13441123, vt=2/96, sts=14072/990758520/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:22:15.849][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=57142567, vt=2/96, sts=40258/997110000/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:39:08.196][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1069491686, vt=2/96, sts=21159/1088221500/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:45:16.810][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1438100143, vt=2/96, sts=26445/1121394780/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:46:30.053][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1511356804, vt=2/96, sts=53502/1127987730/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:49:50.070][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1711370443, vt=2/96, sts=61316/1145986650/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:55:05.397][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=2026689342, vt=2/96, sts=46535/1174303620/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:01:39.629][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1874035234, vt=2/96, sts=59666/1209847500/0x27f8c04, muxer (nil) lost_rate:00% req_id:
